,file_name,count,Point,Percent,TFIDF
4790,2016_CR_Report.pdf,141828,16,0.88%,2.666666666666666
4791,HOCHTIEF_Group_Report_2019.pdf,727805,52,0.44%,2.1264381322847803
4792,Uponor_Annual_Review_2020.pdf,45444,13,0.67%,1.8571428571428568
4793,Report_2019.pdf,65301,11,0.58%,1.6774842736586515
4794,santa_fe_relocation_brochure_communication_on_progress_2020.pdf,30985,1,0.56%,1.0
4795,MS_AD_csr_report2017_default.pdf,5329,0,0.1%,0.0
4796,alectaannualandsustainabilityreport2020.pdf,375153,20,0.47%,1.906925178491185
4797,PwC's_commitment_to_UN_WEP_Principle_7.pdf,2250,0,0.32%,0.0
4798,AICA_Group_CSR_Report_2019_en.pdf,188923,68,0.86%,2.6428950527440045
4799,2013.pdf,9897,1,0.39%,1.0
4800,WPP_Sustainability_Report_2019.pdf,175461,44,1.29%,1.979653590929729
4801,DONG_Energy_in_Society_Responsibility_2013.pdf,82281,7,0.72%,1.807392228230128
4802,COP Facing COVID Challenges_ENG.pdf,20087,5,0.55%,1.889822365046136
4803,UNGC Communication on Progress 2019 %28CPHGROUP%29.pdf,12325,1,0.58%,1.0
4804,C.O.P-2018-En.pdf,12492,0,0.5%,0.0
4805,Sopharma_Communication on Progress_2020.pdf,19438,1,0.49%,1.0
4806,2018_GRI_Table.pdf,41564,3,1.28%,1.3416407864998738
4807,Calvert_Research_and_Management_UNGC_and_CEO_Water_Mandate_2017_Joint_Communication_on_Progress.pdf,70110,15,0.53%,1.709408646894569
4808,Volvo_Cars_Sustainability_Report_2014.pdf,232747,22,0.68%,1.886484436567597
4809,Kalhyge-_Communication_sur_le_progrès_2018-_mars_2019.pdf,7181,0,0.04%,0.0
4810,Linklaters_UNGC_2017_pages.pdf,24142,3,0.78%,1.3416407864998738
4811,Communication_on_Progress_Albania.pdf,42469,10,0.65%,1.8257418583505536
4812,global_Compact_2017-2.pdf,13889,0,0.3%,0.0
4813,DIMO_AnnualReport2011-12.pdf,559389,45,0.38%,2.7539552761294703
4814,Walkgrove_Communication_on_Progress_%28COP%29_2018_-_2019.pdf,12179,0,0.41%,0.0
4815,UNGC_COP_2012-13_LOLC.pdf,3648,0,0.93%,0.0
4816,sustainability report 2020 eng.pdf,114254,29,1.13%,2.728090518312433
4817,GRI_Remissive_Index_SulAmérica_2014.pdf,63612,4,0.4%,1.0
4818,Empire_-_UNGC_COP_2017.pdf,19762,4,0.58%,1.6329931618554523
4819,anua_report_by_AFCOPB_Director.pdf,30327,10,0.89%,1.7149858514250882
4820,Aspen-2017-Communication-on-Progress-report.pdf,22021,1,0.38%,1.0
4821,FINALWEUNGlobalCompact2017.pdf,12196,2,0.3%,1.0
4822,PARCO_Communication_on_Progress_2015.pdf,104563,30,1.08%,1.995570315713218
4823,Compromiso_Gerencia_2016.pdf,1584,0,0.0%,0.0
4824,2019_ar.pdf,409451,4,0.36%,1.6329931618554523
4825,Epsilon_Publishers_COP_2016-2017.pdf,1941,0,0.16%,0.0
4826,ESG_Report-2019.pdf,28704,6,0.38%,1.0
4827,COP Casa Cientifica 2020.pdf,12745,0,0.0%,0.0
